Step	Time	Epot	Ekin	Etot	T
462	0.000462	0.005636	946.536004	946.541640	1.048140
463	0.000463	0.005664	946.539310	946.544974	1.048144
464	0.000464	0.005692	946.542619	946.548312	1.048148
465	0.000465	0.005721	946.545933	946.551654	1.048151
466	0.000466	0.005750	946.549251	946.555000	1.048155
467	0.000467	0.005778	946.552573	946.558351	1.048159
468	0.000468	0.005807	946.555899	946.561706	1.048162
469	0.000469	0.005836	946.559229	946.565065	1.048166
470	0.000470	0.005865	946.562563	946.568428	1.048170
471	0.000471	0.005894	946.565901	946.571795	1.048173
472	0.000472	0.005923	946.569244	946.575167	1.048177
473	0.000473	0.005953	946.572590	946.578543	1.048181
474	0.000474	0.005982	946.575941	946.581923	1.048184
475	0.000475	0.006011	946.579296	946.585307	1.048188
476	0.000476	0.006041	946.582655	946.588695	1.048192
477	0.000477	0.006071	946.586018	946.592088	1.048196
478	0.000478	0.006100	946.589385	946.595485	1.048199
479	0.000479	0.006130	946.592756	946.598886	1.048203
480	0.000480	0.006160	946.596131	946.602291	1.048207
481	0.000481	0.006190	946.599511	946.605701	1.048210
482	0.000482	0.006220	946.602894	946.609115	1.048214
483	0.000483	0.006251	946.606282	946.612533	1.048218
484	0.000484	0.006281	946.609674	946.615955	1.048222
485	0.000485	0.006312	946.613070	946.619381	1.048226
486	0.000486	0.006342	946.616470	946.622812	1.048229
487	0.000487	0.006373	946.619874	946.626247	1.048233
488	0.000488	0.006404	946.623282	946.629686	1.048237
489	0.000489	0.006434	946.626694	946.633129	1.048241
490	0.000490	0.006465	946.630111	946.636576	1.048244
491	0.000491	0.006496	946.633531	946.640028	1.048248
492	0.000492	0.006528	946.636956	946.643484	1.048252
493	0.000493	0.006559	946.640385	946.646944	1.048256
494	0.000494	0.006590	946.643818	946.650408	1.048260
495	0.000495	0.006622	946.647255	946.653876	1.048263
496	0.000496	0.006653	946.650696	946.657349	1.048267
497	0.000497	0.006685	946.654141	946.660826	1.048271
498	0.000498	0.006717	946.657590	946.664307	1.048275
499	0.000499	0.006749	946.661044	946.667792	1.048279
500	0.000500	0.006781	946.664501	946.671282	1.048282
501	0.000501	0.006813	946.667963	946.674776	1.048286
502	0.000502	0.006845	946.671429	946.678273	1.048290
503	0.000503	0.006877	946.674898	946.681776	1.048294
504	0.000504	0.006910	946.678372	946.685282	1.048298
505	0.000505	0.006942	946.681850	946.688792	1.048302
506	0.000506	0.006975	946.685333	946.692307	1.048305
507	0.000507	0.007007	946.688819	946.695826	1.048309
508	0.000508	0.007040	946.692309	946.699349	1.048313
509	0.000509	0.007073	946.695804	946.702877	1.048317
510	0.000510	0.007106	946.699302	946.706408	1.048321
511	0.000511	0.007139	946.702805	946.709944	1.048325
